Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Morocco,MAR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.18101840963276,1.28395135764826,1.3109395796486,1.28858561553446,1.42987260916412,1.47108136782011,1.47482491570521,1.47563680503993,1.56522177671636,1.52837686302843,1.60291293785669,1.70993845880488,1.75533733964027,1.73118097184317,1.73842954113431,1.76683506518859,1.74200393753249,1.80163893690506,1.81912490485427,1.9847450344921,1.84742826740981,1.97891230504847,1.93751442575683,1.8573653487086,1.83925269318779,..
Morocco,MAR,"Population, total",SP.POP.TOTL,28423435,28814643,29198142,29571415,29953018,30358144,30771178,31186468,31606767,32030778,32467016,32912588,33355241,33787571,34204780,34607588,35023457,35446392,35839760,36210898,36584208,36954442,37329064,37712505,38081173,..
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,327.12623979157,304.792138621913,313.886661721198,339.488737800648,400.056973161545,436.773856167384,457.487647833183,507.874923914304,592.159111184122,547.697144193651,496.185839392659,618.17649286789,685.685748199513,686.505672517351,697.142680444123,610.563774706589,441.489734819071,470.93856305196,517.507260258101,519.09255091362,462.433876479921,509.907829475551,578.251663751351,622.000297682823,656.776824637306,..
Mozambique,MOZ,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.0866536165915586,0.102310266807763,0.104824589581639,0.130236083841799,0.140133877928236,0.131290646947492,0.136002702062102,0.152388933763661,0.144341849016611,0.151975649954928,0.156770431712185,0.179664805829954,0.193192939095761,0.204274287988904,0.224549920070884,0.243268951299953,0.304783553342609,0.295110559594905,0.277593949600126,0.288756199727081,0.258364105041605,0.288380146210081,0.333694203552974,0.318684376705804,0.292006477521244,..
Mozambique,MOZ,"Population, total",SP.POP.TOTL,18129653,18537729,18958338,19392475,19840313,20304569,20787087,21287635,21819036,22391745,22999235,23649039,24337846,25051611,25788475,26547572,27337105,28166393,29018644,29884380,30783688,31707800,32656246,33635160,34631766,..
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,196.619580625284,141.525660705722,146.598390364449,224.292688912409,224.508811413327,252.685193060728,303.495087119254,419.375780725042,658.442487229705,758.442935789255,1010.53417343401,1213.62898703376,1202.6658960055,1199.09561597055,1293.00042319714,1166.73305547935,1229.19713491328,1272.82241815234,1298.21310327675,1425.98954241668,1490.21683599469,1242.7213439951,1158.05005055976,1233.19666209269,1359.05001560107,..
Myanmar,MMR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.221722533260091,0.191710326457028,0.191306347918213,0.234820213738165,0.225863126405762,0.236985402005318,0.218804446194408,0.226987849132935,0.172766335943286,0.160062197522633,0.176083810704641,0.185603670753961,0.251973184982232,0.28292574578925,0.350073559191087,0.386395865290602,0.446262538135226,0.650427600472324,0.641233195886911,0.653317518704581,0.654863780011824,0.596355651595398,0.577248041256632,0.577107115225871,0.575463259318228,..
Myanmar,MMR,"Population, total",SP.POP.TOTL,45290841,45771139,46232653,46667192,47068772,47438365,47785135,48125043,48390793,48660459,49024382,49419820,49837446,50262658,50681634,51089056,51495696,51894938,52272247,52640713,53016522,53387102,53756787,54133798,54500091,..
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,2156.67590512714,1915.58926594875,1772.07565537493,2569.24739317883,3403.15496192955,3685.77299991587,4017.1834716928,4379.04313682732,4204.78555422749,4302.91374148376,5418.21633365814,5834.7917675794,5942.64680978673,5346.62131149967,5378.32326241205,4774.10650865775,4395.68776162376,5143.96072323076,5308.60813408705,4731.9210318831,3878.58982993966,4412.8355693052,4349.79908493314,4187.60500396525,4413.12752211572,..
Namibia,NAM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.05320053864219,1.31962124834684,1.1277956792965,1.18656725758606,1.23455137321699,1.30663252282386,1.27020193906485,1.28732785098583,1.44803073291595,1.47083316886445,1.27238885378833,1.32617380871956,1.36313058914982,1.37810831304484,1.38659483707511,1.50195847197069,1.59834340010487,1.49737539456841,1.47819814870212,1.45542679968338,1.29890404513109,1.31835499696145,1.23886461461583,1.21960315143456,1.20450237960009,..
